title;description;transport;price;room
Location bureaux et locaux professionnels 128 m² Paris 10E;Paris 10e (75010). 128 m² de bureaux . Entre la gare de l'Est et la mairie du 10ème. Proximité tous transports (Gare de l'Est, Gare du Nord, plusieurs stations de Métro et arrêts de bus). Au 3ème étage, avec ascenseur, d'un...;Château d'Eau, Jacques Bonsergent, Strasbourg - Saint-Denis;4.700 €;Surface 128 m 2
Location meublée appartement 3 pièces 55 m² Paris;Paris 12e (75012). Gare de Lyon. Meublé, 3 pièces, 55 m², ascenseur, clair calme, balcon vue sur la Seine. Chauffage individuel gaz. Entrée, cuisine équipée, salon, 2 chambres : 1 double couchage, 1 couchage 1 personne, salle...;;1.400 €;Pièces 3 Chambres 2 Surface 55 m 2
Location meublée appartement 5 pièces 122 m² Paris 16E;Paris 16e (75016). Ranelagh - Porte de Passy - 5 pièces très ensoleillé, sans vis-à-vis, vue imprenable sur Bois de Boulogne Magnifique appartement 5 pièces (122 m²), 5e étage, ascenseur : double séjour, 3 chambres, 2 salles...;Ranelagh, Jasmin, La Muette;4.600 €;Pièces 5 Chambres 3 Surface 122 m 2
Location appartement 2 pièces 36 m² Paris 15E;Paris 15e (75015). Appartement non meublée 2 pièces 36 m² sur balcon, entrée, cuisine et salle de bains rénovées. Chauffage individuel au gaz (chaudière neuve) - charges peu élevées. Situation : rue Jean Maridor (Métro :...;Boucicaut, Lourmel, Desnouettes;1.130 €;Pièces 2 Chambre 1 Surface 36 m 2
Location garage, parking Paris;Paris 11e (75011). Ligne 9, métro Voltaire. Box à louer. Loyer : 140 Euros + forfait charges locatives/mois.;;140 €;
Location meublée studio 21 m² Paris 12E;Paris 12e (75012). Métro Porte de Vincennes. Studio meublé, rénové, neuf, 20 m², au 2e étage sur impasse : entrée, salle d'eau (douche, wc, meubles), coin salon, cuisinette (2 plaques, évier, hotte, réfrigérateur, placards),...;;779 €;Pièce 1 Surface 21 m 2
Location meublée studio 30 m² Paris 8E;Paris 8e (75008). Libre le 6 novembre. Grand studio 30 m², baie vitrée, balcon verdure, très calme, fond de couloir, 2e étage ascenseur avec code, gardien, code entrée, tout équipée : grand lit 2 personnes confort et récent,...;Saint-Philippe du Roule, George V, Courcelles;1.500 €;Pièce 1 Surface 30 m 2
Location ou cession local commercial 50 m² Paris 10E;Paris 10e (75010). Belle boutique d'angle, rue du Faubourg Saint Martin Située entre la Mairie du 10 ème et la gare de l'Est Rue commerçante avec de très nombreux moyens de transports à proximité Sans cession ni droit d'entrée ...;Château d'Eau, Jacques Bonsergent, Gare de l'Est (Verdun);2.170 €;Surface 50 m 2
Location bureaux et locaux professionnels 7 m² Paris 11E;Paris 11e (75011). Métro Nation. Cabinet juridique dans le 11e, loue une partie de ses locaux: Un petit bureau de 7 m² équipé d'un ordinateur, d'une imprimante, d'un téléphone fixe (appel illimité vers les fixes en France et en...;;350 €;Pièce 1 Surface 7 m 2
Location ou cession local commercial 37 m² Paris 12E;Paris 12e (75012). Belle boutique situé en plein coeur du 12e arrondissement, 5 m de vitrine, 37 m² + cave Tout commerces possibles y compris petite restauration ne nécessitant pas d'extraction. Loyer :...;;1.500 €;Surface 37 m 2
Location bureaux et locaux professionnels 255 m² Paris 15E;Paris 15e (75015). A proximité immédiate du centre commercial de Paris Beaugrenelle, et des quais de Seine. Nous vous proposons des bureaux bénéficiant d'une double exposition, très lumineux et vue dégagée sur la Tour Eiffel Bureau...;Charles Michels, Boucicaut, Javel - André Citroën;11.220 €;Surface 255 m 2
Location bureaux et locaux professionnels 15 m² Paris 16E;Paris 16e (75016). Une pièce d'environ 15 m² au sein d'une ensembe de bureaux en rez-de-chaussée. Toilettes et cuisinette comprises. Charges, electricité, internet et wifi haut débit compris. Loyer charges comprises.;;1.000 €;Surface 15 m 2
Location meublée appartement 3 pièces 54 m² Paris 16E;Paris 16e (75016). Appartement 54 m², Raffet, 6e étage, métro Jasmin. Meublé, appartement 54 m², proche avenue Mozart et bois de Boulogne. Immeuble de standing. Très beau 3 pièces de 54 m², au 6e étage ascenseur, très...;Jasmin, Michel-Ange - Auteuil, Ranelagh;1.780 €;Pièces 3 Chambre 1 Surface 54 m 2
Location bureaux et locaux professionnels 16 m² Paris 16E;Paris 16e (75016). Au coeur du 16ème arrondissement de Paris, venez découvrir notre nouveau centre d'affaires de standing. Situé sur l'avenue Ingres en face du Bois de Boulogne, ce centre d'affaires bénéficie d'un environnement de...;Chardon-Lagache, Exelmans, Michel-Ange - Molitor;1.450 €;Surface 16 m 2
