title;address;averageprice;rating
Cuisine l'E7 - Hôtel Edouard 7;39, avenue de l'Opéra 75002 Paris;Prix moyen 50 €;8,8
Gabriela;3 Rue Milton 75009 Paris;Prix moyen 40 €;9,1
Les Affranchis;5 Rue Henry Monnier 75009 Paris;Prix moyen 45 €;9,1
Gallery;90, rue d'Assas 75006 Paris;Prix moyen 25 €;8,8
Au Risi e Bisi;81, rue du Rocher 75008 Paris;Prix moyen 37 €;8,8
Salento;47, rue du Temple 75004 Paris;Prix moyen 36 €;9
G.IV;3 Rue Poissonnière 75002 Paris;Prix moyen 28 €;9,5
L'Amijoté;65 Rue de Charonne 75011 Paris;Prix moyen 30 €;9,2
Bistrot Papillon;6, rue papillon 75009 Paris;Prix moyen 28 €;9,2
L'Atelier Saint-Georges;16, rue Henry Monnier 75009 Paris;Prix moyen 20 €;8,8
Sakura;9 Rue Saint-Lazare 75009 Paris;Prix moyen 16 €;8,8
Après;1 Passage Ruelle 75018 Paris;Prix moyen 45 €;9,2
Archibon;13 Rue Rougemont 75009 Paris;Prix moyen 20 €;8,8
Kuai;17 Rue du Croissant 75002 Paris;Prix moyen 15 €;8,8
Auberge de Venise Bastille;2, rue de la Bastille 75004 Paris;Prix moyen 30 €;8,6
Le Sarawan;113 Avenue d'Ivry 75013 Paris;Prix moyen 30 €;8,8
Mipi;11 Rue Danielle Casanova 75001 Paris;Prix moyen 15 €;8,6
Seab Seab;49 Rue Balard 75015 Paris;Prix moyen 25 €;8,8
Le Touareg;228, rue de Charenton 75012 Paris;Prix moyen 25 €;9,2
Rouge;46 Rue René Boulanger 75010 Paris;Prix moyen 25 €;8,8
Sourire, le Restaurant;15 Rue de la Santé 75013 Paris;Prix moyen 45 €;9,5
BAR LINDBERGH, Paris Marriott Opera Ambassador;16, boulevard Haussmann 75009 Paris;Prix moyen 45 €;8,6
Brasserie Naï;8 Avenue de la Grande-Armée 75017 Paris;Prix moyen 24 €;8,8
Le Canaille Gourmet;10 Boulevard de la Chapelle 75018 Paris;Prix moyen 25 €;8,8
Au Petit Marguery - Rive Gauche;9 Boulevard de Port-Royal 75013 Paris;Prix moyen 35 €;8,9
Hanaza;282 Rue Lecourbe 75015 Paris;Prix moyen 20 €;8,8
Sagarmatha;2, Rue François Mouthon 75015 Paris;Prix moyen 21 €;8,6
Matsuri Victor Hugo;119-121, avenue Victor Hugo 75116 Paris;Prix moyen 16 €;8,9
Il Castello 5ème;4 Rue du Petit Moine 75005 Paris;Prix moyen 25 €;8,8
Trente 5 Rivoli;35 Rue de Rivoli 75004 Paris;Prix moyen 28 €;8,9
MacDoner Grill;14 Avenue de Clichy 75018 Paris;Prix moyen 25 €;9,7
Banyan Thai;11 Boulevard Saint-Marcel 75013 Paris;Prix moyen 25 €;8,8
Les Matins Blancs;44 Rue Saint-Sébastien 75011 Paris;Prix moyen 15 €;8,8
Au Bougnat;26, rue Chanoinesse 75004 Paris;Prix moyen 27 €;8,9
Isana;7 Rue Bourdaloue 75009 Paris;Prix moyen 25 €;9,2
LES FILAOS;5 Rue Guy de Maupassant 75116 Paris;Prix moyen 33 €;8,9
Come in;13 Rue Commines 75003 Paris;Prix moyen 35 €;9,1
La Poulette de Grain;261, Rue du Faubourg Saint-Antoine 75011 Paris;Prix moyen 30 €;9,1
La Marée Jeanne;3 Rue Mandar 75002 Paris;Prix moyen 30 €;9,8
Sushi-B Paris;5 Rue Rameau 75002 Paris;Prix moyen 100 €;9,8
Au Sens des Saveurs;19 Rue Sedaine 75011 Paris;Prix moyen 25 €;9,3
Couscous Deli;128, rue du Chemin Vert 75011 Paris;Prix moyen 20 €;9,3
Alliance;5 Rue de Poissy 75005 Paris;Prix moyen 95 €;9,4
Tosca;20 Rue du Cirque 75008 Paris;Prix moyen 50 €;9,6
Mathieu Pacaud - Histoires;85 Avenue Kléber 75116 Paris;Prix moyen 220 €;9,4
Stéphane Martin;67, rue des Entrepreneurs 75015 Paris;Prix moyen 50 €;8,8
Abydoise;3 Villa Berthier 75017 Paris;Prix moyen 37 €;9,3
Le Lutin dans le Jardin;15 Rue Gît-le-Cœur 75006 Paris;Prix moyen 50 €;8,7
Salon Proust - Ritz Paris;15 Place Vendôme 75001 Paris;Prix moyen 65 €;9,6
Les Saisons;52 Rue Lamartine 75009 Paris;Prix moyen 34 €;9
Little Bulles;2 Place du Général Stefanik 75016 Paris;Prix moyen 30 €;9,3
Mariette;24, rue Bosquet 75007 Paris;Prix moyen 58 €;9,6
O fil Rouge;69, rue Saint Charles 75015 Paris;Prix moyen 35 €;9,3
Place Falguière Le Bistro;1, place Falguière 75015 Paris;Prix moyen 33 €;8,9
Rumeurs;34 Rue des Ecoles, Paris, France 75005 Paris;Prix moyen 16 €;9,3
Les Bombis Bistrot;22, rue de Chaligny 75012 Paris;Prix moyen 23 €;9
L'Escapade;25 avenue Duquesne 75007 Paris;Prix moyen 25 €;9
Istanbul;43 Rue de l'Ouest 75014 Paris;Prix moyen 30 €;8,8
Les Rendez-Vous Italiens;152 Rue de Charenton 75012 Paris;Prix moyen 24 €;9
La Grange aux Canards;23 Rue Frédéric Sauton 75005 Paris;Prix moyen 35 €;9,8
Lakou;13 Boulevard Garibaldi 75015 Paris;Prix moyen 25 €;9
Ta Sushi;7 Rue Marie Stuart 75002 Paris;Prix moyen 15 €;9
Les 5 Saisons;52 Boulevard Arago 75013 Paris;Prix moyen 20 €;9,3
Le Bistrot du Parisien;31 rue Pelleport 75020 Paris;Prix moyen 25 €;8,9
La Pizza du 12;4 Rue Crozatier 75012 Paris;Prix moyen 15 €;8,9
Matsuri Marbeuf;24 rue Marbeuf 75008 Paris;Prix moyen 18 €;8,7
Casa Déa;161, boulevard Auguste Blanqui 75013 Paris;Prix moyen 20 €;8,6
